,0
0,162.221.92.17
1,89.96.157.11
2,95.97.5.162
3,24.118.54.164
4,162.221.89.52
5,129.236.40.215
6,38.140.216.18
7,192.100.21.1
8,77.109.165.141
9,134.121.83.171
10,67.189.87.93
11,188.60.134.52
12,108.54.181.199
13,128.59.194.50
14,172.112.230.201
15,76.66.85.114
16,128.205.24.100
17,60.249.24.176
18,217.13.55.146
19,96.31.62.44
20,71.95.173.26
21,134.39.72.16
22,163.27.186.1
23,122.99.173.45
24,185.178.92.85
25,190.19.109.214
26,202.55.72.88
27,174.74.58.211
28,89.24.113.202
29,85.39.39.66
30,97.85.22.77
31,213.208.145.170
32,96.23.36.118
33,185.12.15.97
34,94.190.201.122
35,69.17.165.189
36,128.122.110.168
37,107.12.57.68
38,64.83.174.102
39,210.155.152.243
40,62.210.67.130
41,208.108.198.198
42,128.122.30.8
43,222.112.103.157
44,92.207.89.3
45,201.221.243.138
46,178.195.12.238
47,185.60.253.90
48,50.29.213.244
49,37.153.194.205
50,178.23.208.153
51,50.84.185.126
52,172.89.57.64
53,71.246.210.11
54,24.249.122.54
55,70.63.231.210
56,80.15.142.11
57,76.172.134.60
58,79.77.141.65
59,172.114.101.15
60,200.72.197.36
61,173.173.145.162
62,90.92.13.211
63,184.68.64.90
64,90.63.166.84
65,72.219.117.58
66,76.90.48.192
67,212.159.119.232
68,173.73.195.114
69,130.132.205.101
70,137.99.158.151
71,156.110.219.19
72,129.10.142.17
73,199.102.237.25
74,188.63.8.139
75,50.75.106.40
76,69.204.218.109
77,141.89.97.242
78,184.74.179.14
79,81.149.246.214
80,80.32.1.38
81,58.81.96.166
82,75.129.130.155
83,144.139.217.208
84,67.53.115.226
85,94.103.193.116
86,122.249.243.42
87,213.189.151.242
88,50.228.204.58
89,62.54.38.27
90,217.144.233.156
91,70.79.60.218
92,47.222.47.133
93,185.90.39.22
94,73.196.104.121
95,69.127.38.18
96,67.213.79.101
97,128.32.54.190
98,83.48.45.154
99,107.137.158.68
100,148.76.49.243
101,46.20.65.9
102,86.18.226.156
103,172.6.220.41
104,73.197.49.50
105,65.36.85.140
106,62.243.190.179
107,169.229.147.20
108,108.206.10.94
109,128.32.54.158
110,141.213.37.91
111,113.113.123.148
112,128.210.163.13
113,128.197.225.70
114,169.229.173.206
115,72.35.139.171
116,109.136.25.234
117,12.175.198.50
118,128.114.132.138
119,132.235.24.88
120,141.211.218.82
121,185.209.212.78
122,130.88.127.191
123,128.46.164.104
124,108.219.206.173
125,169.229.173.156
126,50.196.95.185
127,72.51.115.203
128,70.65.118.109
129,47.19.201.141
130,185.90.39.71
131,130.156.129.185
132,98.254.110.246
133,128.9.168.95
134,12.252.124.18
135,173.11.98.21
136,216.160.185.163
137,128.114.138.194
138,47.190.62.41
139,96.66.196.114
140,69.125.208.70
141,183.82.113.18
142,168.195.202.5
143,78.22.182.45
144,151.80.196.205
145,185.37.112.142
146,85.220.153.98
147,93.93.131.12
148,50.212.199.105
149,129.24.101.77
150,205.202.45.56
151,81.82.236.126
152,50.252.74.173
153,157.131.247.232
154,68.230.47.240
155,66.26.134.164
156,169.244.28.132
157,194.72.254.152
158,163.21.82.244
159,18.18.127.13
160,209.159.183.68
161,18.18.80.16
162,96.27.194.26
163,140.137.52.4
164,82.127.120.141
165,128.95.48.77
166,83.19.131.87
167,72.76.194.82
168,134.39.74.63
169,178.189.99.125
170,135.19.244.39
171,203.74.114.171
172,209.225.103.52
173,129.170.48.96
174,129.236.169.53
175,89.144.106.21
176,70.118.15.202
177,92.154.9.225
178,160.39.29.95
179,71.14.2.22
180,83.241.226.218
181,204.108.249.245
182,69.204.114.200
183,94.254.73.97
184,23.240.239.24
185,128.122.31.66
186,212.147.28.239
187,70.120.218.55
188,199.195.144.4
189,50.207.152.67
190,46.249.62.102
191,71.89.124.56
192,131.128.101.94
193,92.50.83.106
194,45.146.172.156
195,89.20.160.107
196,77.87.240.78
197,188.213.225.103
198,193.65.4.98
199,74.62.139.13
200,91.226.183.142
201,93.55.208.236
202,211.22.7.155
203,81.150.164.233
204,194.72.254.150
205,66.27.122.58
206,162.105.89.173
207,152.231.69.196
208,108.12.29.35
209,92.154.86.182
210,90.85.67.205
211,82.145.156.201
212,86.241.59.25
213,74.75.227.237
214,68.174.104.7
215,199.102.237.7
216,208.101.214.72
217,173.63.244.13
218,199.249.182.8
219,96.87.116.17
220,198.206.133.7
221,72.139.50.38
222,191.8.179.176
223,50.200.5.133
224,76.79.196.185
225,65.74.120.66
226,103.100.31.52
227,128.59.194.27
228,216.234.55.18
229,50.89.36.127
230,72.214.24.164
231,97.81.250.130
232,217.194.9.10
233,198.24.111.26
234,173.174.117.197
235,162.221.89.26
236,128.59.194.62
237,85.201.9.184
238,210.133.167.6
239,87.224.76.69
240,184.70.135.196
241,173.8.155.25
242,74.93.120.185
243,12.183.220.213
244,169.229.173.170
245,82.44.65.142
246,169.229.173.193
247,185.209.212.79
248,89.132.153.111
249,45.95.36.78
250,156.26.161.204
251,85.30.27.215
252,185.90.39.110
253,217.136.239.136
254,206.75.147.17
255,73.217.134.2
256,128.32.214.153
257,61.155.220.29
258,202.138.232.86
259,70.90.161.45
260,185.90.39.70
261,128.32.113.156
262,141.213.4.214
263,64.182.214.156
264,141.211.175.76
265,77.58.17.40
266,141.213.7.64
267,61.155.220.28
268,50.209.176.45
269,203.141.155.46
270,70.224.66.111
271,128.227.70.174
272,216.243.30.146
273,50.73.222.101
274,141.211.204.145
275,169.229.173.246
276,202.138.230.249
277,169.229.173.243
278,96.56.204.51
279,185.90.39.159
280,76.77.181.127
281,96.87.116.18
282,162.255.23.72
283,38.101.67.217
284,12.11.82.19
285,81.82.217.229
286,128.255.118.97
287,128.59.246.37
288,173.164.102.241
289,81.82.227.195
290,198.206.134.90
291,80.123.126.226
292,96.71.187.205
293,162.253.133.54
294,185.11.211.218
295,90.22.236.98
296,198.8.83.110
297,71.94.31.56
298,45.3.221.43
299,64.26.103.2
300,192.200.228.136
301,131.247.51.164
302,217.128.119.176
303,194.140.217.35
304,45.73.42.146
305,72.15.28.234
306,97.79.12.50
307,172.250.60.13
308,162.253.133.42
309,160.39.44.214
310,78.111.70.67
311,98.100.36.122
312,88.98.84.193
313,188.9.241.24
314,68.174.50.103
315,190.123.226.93
316,92.223.234.2
317,185.238.205.71
318,45.146.172.142
319,122.32.62.81
320,71.238.65.104
321,218.225.119.148
322,71.246.232.63
323,65.158.45.126
324,64.106.33.217
325,66.185.22.88
326,95.128.47.211
327,128.122.35.102
328,74.108.223.72
329,74.72.148.235
330,177.135.153.219
331,208.78.148.94
332,78.63.83.83
333,212.235.102.237
334,93.46.189.2
335,131.130.84.122
336,176.236.45.194
337,92.223.175.58
338,68.187.4.42
339,140.78.116.142
340,213.166.203.30
341,100.35.47.8
342,119.224.131.194
343,89.25.38.222
344,83.250.231.53
345,62.116.79.211
346,72.200.240.119
