,0
0,117.4.242.102
1,90.139.113.15
2,128.232.18.84
3,150.136.188.38
4,175.23.185.46
5,128.232.18.87
6,220.133.13.150
7,84.239.20.238
8,203.159.249.38
9,52.58.237.126
10,119.159.246.244
11,72.88.161.5
12,118.69.77.143
13,171.231.172.72
14,79.172.239.41
15,8.29.12.8
16,216.172.86.1
17,81.95.183.64
18,218.212.190.151
19,193.51.183.69
20,129.126.207.12
21,66.96.201.99
22,46.235.226.222
23,217.70.135.86
24,110.159.32.238
25,49.3.226.97
26,122.116.52.5
27,1.34.62.87
28,88.157.221.162
29,208.107.74.193
30,112.197.94.61
31,123.193.48.87
32,58.96.228.159
33,211.75.18.146
34,167.86.94.150
35,217.70.133.55
36,61.61.90.183
37,115.79.219.235
38,216.51.137.197
39,180.95.188.117
40,119.110.237.198
41,193.122.153.116
42,201.147.28.217
43,60.166.158.23
44,101.89.142.81
45,206.248.136.91
46,123.59.120.234
47,119.188.35.87
48,31.128.253.5
49,103.147.65.1
50,81.10.41.198
51,150.136.33.4
52,196.3.132.1
53,88.250.233.117
54,80.73.82.174
55,158.101.119.64
56,60.249.86.115
57,46.234.99.218
58,81.250.129.58
59,27.72.105.206
60,180.11.119.96
61,85.244.154.123
62,45.226.104.242
63,159.192.134.230
64,77.27.184.183
65,190.94.120.100
66,175.143.5.138
67,58.182.134.20
68,59.148.37.2
69,59.126.105.98
70,103.123.151.62
71,178.156.52.1
72,222.253.23.106
73,218.84.39.43
74,129.213.169.76
75,27.104.180.81
76,196.3.132.18
77,103.130.131.3
78,124.40.244.213
79,103.65.202.3
80,147.91.175.66
81,78.129.130.189
82,95.93.64.108
83,185.192.84.86
84,80.74.227.131
85,216.159.8.75
86,131.247.139.167
87,67.164.52.200
88,78.82.154.42
89,200.111.125.84
90,14.241.247.161
91,159.192.134.210
92,139.211.74.54
93,123.138.158.12
94,175.143.127.25
95,74.93.73.169
96,114.99.238.237
97,150.136.41.25
98,123.17.143.180
99,221.176.192.37
100,88.150.153.32
101,82.123.107.38
102,203.76.125.34
103,64.224.79.7
104,14.161.44.87
105,178.164.10.6
106,189.91.0.69
107,41.213.216.138
108,223.215.167.220
109,180.95.188.53
110,150.136.29.172
111,85.105.54.58
112,190.2.105.239
113,100.8.162.110
114,14.169.213.217
115,200.34.142.185
116,190.2.208.35
117,79.161.138.2
118,119.6.166.251
119,58.49.160.161
120,222.186.120.171
121,138.75.42.248
122,210.140.85.223
123,114.35.152.190
124,192.161.183.131
125,66.96.230.84
126,111.125.95.27
127,158.140.179.106
128,223.243.100.74
129,129.173.101.75
130,95.154.237.42
131,80.156.194.45
132,181.30.135.15
133,94.191.184.13
134,95.154.244.73
135,132.255.125.205
136,115.238.107.178
